Washington Wizards,Los Angeles Clippers,Home
Utah Jazz,Dallas Mavericks,Visiting
Golden State Warriors,Brooklyn Nets,Visiting
Los Angeles Lakers,San Antonio Spurs,Home
Charlotte Hornets,Philadelphia 76ers,Home
Utah Jazz,New Orleans Pelicans,Visiting
Orlando Magic,Milwaukee Bucks,Visiting
Portland Trail Blazers,Miami Heat,Home
Phoenix Suns,Memphis Grizzlies,Visiting
Boston Celtics,Detroit Pistons,Home
Indiana Pacers,Cleveland Cavaliers,Visiting
Chicago Bulls,Atlanta Hawks,Visiting
Dallas Mavericks,Toronto Raptors,Home
Washington Wizards,Sacramento Kings,Home
Golden State Warriors,New York Knicks,Visiting
Brooklyn Nets,New Orleans Pelicans,Home
Milwaukee Bucks,Minnesota Timberwolves,Home
Los Angeles Clippers,Houston Rockets,Visiting
Chicago Bulls,Charlotte Hornets,Home
Portland Trail Blazers,Orlando Magic,Visiting
Boston Celtics,Oklahoma City Thunder,Home
Denver Nuggets,Los Angeles Lakers,Home
Cleveland Cavaliers,Detroit Pistons,Home
Minnesota Timberwolves,Toronto Raptors,Home
Indiana Pacers,San Antonio Spurs,Home
Memphis Grizzlies,Sacramento Kings,Home
Los Angeles Lakers,Phoenix Suns,Visiting
Philadelphia 76ers,Milwaukee Bucks,Home
New York Knicks,Miami Heat,Visiting
Utah Jazz,Houston Rockets,Home
Washington Wizards,Golden State Warriors,Home
Brooklyn Nets,Cleveland Cavaliers,Home
Charlotte Hornets,Chicago Bulls,Home
Dallas Mavericks,Atlanta Hawks,Home
Los Angeles Clippers,New Orleans Pelicans,Home
Philadelphia 76ers,Detroit Pistons,Home
Sacramento Kings,Denver Nuggets,Home
Memphis Grizzlies,Utah Jazz,Visiting
Charlotte Hornets,Toronto Raptors,Home
Washington Wizards,Portland Trail Blazers,Visiting
Indiana Pacers,Minnesota Timberwolves,Visiting
New York Knicks,Milwaukee Bucks,Home
San Antonio Spurs,Los Angeles Lakers,Visiting
Phoenix Suns,Golden State Warriors,Home
Chicago Bulls,Dallas Mavericks,Home
Orlando Magic,Boston Celtics,Visiting
Sacramento Kings,Oklahoma City Thunder,Visiting
Houston Rockets,Los Angeles Clippers,Home
Golden State Warriors,Denver Nuggets,Visiting
Atlanta Hawks,Cleveland Cavaliers,Visiting
Toronto Raptors,Washington Wizards,Visiting
San Antonio Spurs,Portland Trail Blazers,Home
Orlando Magic,Philadelphia 76ers,Home
Boston Celtics,New York Knicks,Visiting
Charlotte Hornets,Miami Heat,Visiting
